Time(ms),MotorCurrent,Position,Velocity,Acceleration
20640,266.00,27,1855.68,186216.19
20652,19.00,0,-2279.64,-349148.94
20664,95.00,-3,-253.87,171427.92
20675,251.00,0,253.91,42978.08
20687,30.00,22,1851.85,134506.51
20699,123.00,48,2188.55,28341.78
20711,205.00,71,1937.49,-21148.80
20726,172.00,28,-2856.00,-318377.99
20738,197.00,3,-2102.25,63383.00
20750,160.00,19,1345.22,289849.48
20762,26.00,19,0.00,-113147.96
20774,276.00,44,2108.99,177914.02
20786,1.00,67,1935.54,-14596.87
20797,46.00,90,1939.95,371.78
20809,309.00,110,1688.62,-21219.80
20821,63.00,129,1603.78,-7161.07
20833,57.00,151,1852.48,20940.89
20845,339.00,172,1769.17,-7018.50
20857,154.00,192,1685.20,-7074.66
20869,99.00,215,1935.21,21035.64
20880,148.00,237,1852.94,-6929.07
20892,257.00,262,2101.37,20881.44
20907,284.00,293,2055.02,-3072.49
20919,1.00,319,2184.87,10911.97
20931,89.00,347,2352.35,14069.91
20943,16.00,71,-22761.01,-2071033.94
20956,93.00,169,7879.71,2463674.77
20968,206.00,203,2845.43,-421314.53
20980,153.00,227,2014.44,-69749.00
20992,189.00,251,2019.01,384.92
21006,115.00,284,2355.96,24056.01
21017,183.00,312,2349.78,-518.89
21029,43.00,340,2347.02,-231.14
21041,235.00,366,2183.77,-13711.69
21053,7.00,392,2182.86,-76.96
21065,142.00,415,1933.10,-20991.61
21077,102.00,442,2265.10,27852.57
21092,6.00,476,2248.38,-1105.73
21104,235.00,507,2592.41,28769.60
21116,56.00,532,2089.95,-42004.28
21128,167.00,557,2099.08,766.15
21140,61.00,583,2185.06,7225.91
21152,205.00,610,2262.82,6517.36
21164,1.00,638,2351.36,7435.15
21176,116.00,666,2349.39,-165.54
21188,204.00,695,2435.95,7271.21
21199,148.00,725,2515.30,6652.98
21211,192.00,752,2265.29,-20975.81
21223,56.00,778,2180.29,-7127.65
21235,260.00,805,2265.48,7147.78
21247,98.00,832,2259.23,-523.44
21259,178.00,862,2515.51,21489.78
21274,171.00,899,2471.61,-2932.69
21286,151.00,9,-75366.25,-6591401.13
21298,111.00,4,-422.98,6339841.81
21309,132.00,30,2209.76,223757.69
21321,261.00,54,2038.22,-14568.18
21333,1.00,76,1869.32,-14351.17
21345,11.00,79,255.91,-137627.78
21356,89.00,79,0.00,-21930.52
21370,164.00,84,364.27,26538.84
21382,142.00,112,2382.37,171709.20
21394,304.00,18,-7977.59,-879229.85
21406,54.00,46,2369.67,875699.31
21417,78.00,22,-2039.43,-374668.36
21429,255.00,46,2038.56,346385.10
21441,179.00,5,-3487.58,-470070.06
21456,79.00,8,203.86,250845.38
21467,266.00,31,1958.11,149349.03
21479,161.00,56,2128.02,14462.75
21491,126.00,79,1956.95,-14555.83
